ab1A,ab1B,ab1C,ab1D,ab2A,ab2B,ab3A,ab3B,ab4A,ab4B,ab5A,ab5B,ab7A,ab7B,ab8A,ab8B,pb1A,pb1B,pb3A,pb3B,label
-2.6666667,-4.888889,-4.888889,17.555555,-1.0909091,19.636364,66.44444,160.88889,4.6666665,2.1666667,-1.0,36.4,171.1,-1.2,34.666668,1.1111112,8.125,8.0,42.2,65.4,0
-9.166667,-7.3333335,-0.5,-1.8333334,31.0,5.1666665,-6.571429,0.2857143,1.0,-2.3333333,-0.6666667,1.3333334,-13.833333,-4.6666665,-7.3333335,-1.0,-1.5,-5.6666665,1.2,2.0,0
49.666668,13.333333,-4.0,30.666666,20.333334,44.833332,215.33333,15.333333,5.0,3.6666667,-2.0,2.0,-1.2,13.2,108.666664,16.0,88.8,-4.0,72.8,1.6,0
253.91667,50.833332,-4.3333335,-1.0,167.07692,6.230769,18.5,0.5,2.7272727,-1.4545455,-1.4545455,9.090909,1.1818181,0.18181819,35.333332,3.7777777,163.08333,3.9166667,7.0,9.666667,0
167.91667,106.666664,-4.5833335,-0.5833333,29.0,89.5,202.0,17.5,3.3846154,-0.30769232,-0.54545456,12.181818,6.25,28.0,179.6,28.5,226.91667,15.75,60.76923,10.615385,0
-10.0,6.0,-2.4285715,1.4285715,6.285714,3.857143,257.42856,85.85714,-2.0,2.5714285,-0.33333334,46.666668,5.2222223,-2.2222223,25.333334,1.5555556,-0.75,7.75,34.75,59.75,0
-3.3333333,8.666667,-1.3333334,10.0,3.6666667,0.16666667,193.66667,5.0,-2.0,5.3333335,-1.2,0.4,-1.6,-4.4,0.0,-2.6666667,-2.0,3.6,8.4,6.4,0
-13.0,-0.33333334,-0.6666667,-1.3333334,-1.3333334,3.5,-1.1428572,-5.714286,-1.6666666,5.0,-2.0,-3.0,-3.3333333,12.666667,10.666667,-0.6666667,-2.0,8.8,13.2,2.8,0
-13.333333,-2.6666667,0.8333333,-8.0,-4.3333335,5.0,4.6666665,3.0,0.0,22.666666,3.2,0.8,4.4,-1.6,-5.0,-2.6666667,-4.0,-1.6,-4.4,2.4,0
-3.0,-5.8333335,-0.5,9.333333,4.3333335,10.5,20.0,5.428571,11.142858,-2.5714285,2.3333333,253.33333,-12.625,-2.5,4.0,3.142857,-3.5,5.3333335,4.4,12.4,0
-9.5,-5.3333335,-4.5,1.5,16.333334,-1.5,22.0,-0.5714286,-2.0,-0.33333334,0.0,11.666667,-14.5,-1.6666666,-4.6666665,1.3333334,-2.8333333,-3.3333333,-2.4,15.2,0
-10.166667,-2.6666667,-1.1666666,4.8333335,-0.33333334,8.5,9.428572,0.5714286,33.666668,-2.6666667,2.0,6.6666665,-10.166667,1.6666666,24.666666,0.33333334,18.5,12.0,8.8,19.6,0
-13.333333,1.0,-0.33333334,10.666667,-2.0,0.8333333,-4.6666665,-1.0,7.3333335,3.0,-1.2,-2.0,-5.6,0.4,4.3333335,-0.33333334,-1.2,14.8,5.2,1.2,0
-4.6666665,-2.6666667,-0.8333333,-1.0,0.6666667,2.5,-4.3333335,-2.3333333,2.6666667,12.333333,-2.8,1.6,4.4,-4.0,4.6666665,-1.3333334,11.2,233.0,17.2,3.2,0
-1.6666666,-5.0,-3.8333333,5.0,-1.6666666,1.8333334,-0.33333334,-1.0,2.3333333,1.6666666,-2.4,-2.4,-4.8,0.0,15.0,-3.0,0.8,213.6,2.5714285,1.4285715,0
153.0,160.0,-5.6666665,-1.8333334,32.333332,7.0,11.142858,-5.142857,-4.571429,-4.0,-6.6666665,-5.6666665,-4.3333335,124.666664,112.5,143.33333,120.0,2.6666667,23.0,2.0,0
0.8333333,-6.3333335,-2.8333333,0.8333333,-1.0,-1.5,1.4285715,2.5714285,-0.33333334,-1.3333334,0.33333334,-2.3333333,-7.1666665,0.33333334,-2.6666667,3.6666667,1.1666666,-3.3333333,2.0,8.8,0
-6.0,11.666667,-3.6666667,21.666666,-4.6666665,-0.8333333,3.8333333,-0.6666667,-14.333333,5.0,-0.4,-1.6,2.0,-2.4,15.333333,-3.0,10.0,2.4,2.8,4.0,0
4.375,-0.75,-4.875,5.875,20.571428,2.7142856,84.0,24.333334,1.5555556,-2.2222223,2.5714285,166.0,-0.14285715,-3.4285715,8.0,2.5,5.0,2.4,10.571428,72.0,0
16.833334,11.333333,-5.1666665,3.8333333,12.0,47.166668,10.0,139.42857,12.333333,-7.6666665,0.6666667,3.3333333,32.833332,9.0,40.666668,10.333333,37.5,18.166666,11.6,29.6,0
1.6666666,15.333333,-4.6666665,5.3333335,3.0,4.1666665,8.666667,34.666668,222.28572,12.571428,-4.0,-1.2,-0.8,5.2,31.0,-0.6666667,78.0,8.0,-0.5714286,8.0,0
-8.111111,-10.222222,-1.8571428,3.857143,-0.5714286,-3.2857144,13.777778,-1.7777778,-4.6666665,15.666667,0.8,-1.2,-8.0,-1.4285715,3.0,-2.3333333,5.142857,9.142858,3.0,8.333333,0
-8.5,-15.666667,-8.5,1.1666666,-1.6666666,6.1666665,8.571428,4.571429,7.0,8.333333,4.3333335,-5.3333335,-10.166667,-3.3333333,0.6666667,1.0,-1.8333334,-2.6666667,-0.4,-0.8,0
8.0,4.6666665,1.0,-0.33333334,-3.3333333,-0.33333334,1.4285715,-3.7142856,2.2857144,196.57143,-5.6666665,3.3333333,2.3333333,-8.0,-2.6666667,0.0,-3.0,9.666667,-0.8,6.0,0
-27.5,0.0,-4.5,2.8333333,-10.333333,3.8333333,-0.85714287,1.7142857,4.6666665,2.6666667,2.3333333,-2.3333333,109.166664,-2.0,-3.3333333,3.3333333,-3.2857144,-0.2857143,1.2,6.4,0
-27.166666,-8.333333,-3.8333333,4.8333335,-8.666667,8.5,2.5714285,1.7142857,4.0,-5.3333335,0.33333334,3.0,103.833336,-4.6666665,-4.3333335,1.6666666,-1.1666666,6.0,-2.4,3.2,0
1.0,-0.33333334,0.5,5.3333335,3.8333333,-1.1666666,-5.3333335,-2.6666667,3.4285715,-0.85714287,-3.2,-2.0,0.4,-4.0,3.0,-3.0,11.2,5.2,4.0,2.3333333,0
4.6666665,4.6666665,-1.3333334,2.6666667,-2.6666667,1.3333334,4.0,13.428572,16.285715,-2.0,22.0,13.666667,2.6666667,3.3333333,18.333334,3.6666667,20.666666,119.333336,-2.6666667,96.666664,0
-7.6666665,-2.0,-0.8333333,1.0,18.0,1.1666666,0.33333334,9.0,3.3333333,4.6666665,-2.4,-0.4,4.0,-0.4,0.0,-2.6666667,3.3333333,9.666667,4.8,6.0,0
-7.0,-1.6666666,3.8333333,6.3333335,-1.0,-2.7142856,127.0,13.333333,7.0,-4.3333335,-2.8,40.0,0.4,-3.6,15.0,4.0,22.8,9.2,34.8,54.0,0
119.666664,216.33333,-2.0,1.3333334,115.0,-0.5,2.0,41.333332,8.333333,6.3333335,-2.8,-1.2,3.6,0.0,18.333334,22.0,101.6,-0.4,2.6666667,3.0,0
-8.666667,2.3333333,-1.5,1.3333334,1.3333334,-1.1666666,0.0,7.0,1.6666666,0.6666667,-2.0,-1.6,-4.4,1.2,3.3333333,-1.6666666,-0.4,-9.2,2.6666667,0.0,0
25.5,13.0,-4.0,79.5,26.666666,16.833334,163.0,154.33333,1.75,-0.75,2.0,60.285713,187.0,0.8,109.0,44.0,9.0,-2.2857144,27.666666,59.666668,0
-8.333333,0.6666667,-3.0,15.333333,-5.3333335,2.1666667,-7.3333335,3.0,-1.0,1.6666666,1.2,0.0,-6.0,7.2,36.0,0.0,37.6,7.2,11.0,6.0,0
-3.3333333,-0.6666667,-2.3333333,2.0,2.0,0.8333333,3.3333333,-1.6666666,2.0,-2.0,-2.4,3.2,-1.2,2.0,14.0,5.6666665,101.6,-8.4,39.333332,2.0,0
9.333333,3.3333333,1.6666666,-0.6666667,-3.0,5.0,-1.7142857,-3.142857,5.3333335,-3.6666667,-5.3333335,0.6666667,3.0,-11.0,-3.0,-2.3333333,-8.714286,-4.285714,-0.4,-6.4,0
-7.6666665,-2.0,0.33333334,-3.0,2.857143,-0.5714286,12.0,-4.285714,6.5,0.0,-7.2,-2.4,-6.0,0.85714287,-0.8,1.6,5.2,0.0,-5.0,-5.0,1
-8.333333,-1.0,2.0,0.33333334,0.2857143,0.85714287,3.4285715,-0.85714287,7.0,-3.0,-6.6666665,-3.6666667,-3.3333333,-0.2857143,-6.0,0.0,2.8,0.8,5.5,-5.5,1
8.4,-5.2,-0.4,-1.6,-8.333333,4.6666665,8.5,13.5,-6.8,6.4,-2.0,23.6,5.2,-3.2,177.6,16.8,13.2,25.6,15.0,5.5,1
10.0,8.0,5.6666665,4.3333335,65.75,2.25,1.7142857,-0.85714287,0.0,0.5,-0.6666667,3.0,2.3333333,-2.857143,3.6,0.4,16.0,0.4,-4.5,-1.0,1
-12.5,102.5,-1.5,2.0,108.0,1.0,4.5,0.5,-6.0,3.5,-2.5,-4.5,0.0,-2.0,20.4,2.4,192.8,19.6,1.5,4.0,1
1.7142857,-3.4285715,1.7142857,35.42857,1.1111112,1.5555556,2.857143,2.5714285,188.0,8.25,-12.857142,5.428571,39.142857,-1.25,42.857143,24.0,9.0,-0.6666667,6.3333335,15.666667,1
-2.0,11.333333,8.666667,-3.3333333,-8.0,0.6666667,-5.3333335,6.6666665,6.0,1.3333334,-3.3333333,7.3333335,-7.0,0.0,-1.0,2.0,-3.3333333,18.0,12.666667,-2.6666667,1
18.0,4.0,-1.3333334,-1.3333334,-1.3333334,-2.0,8.0,9.333333,35.333332,-2.6666667,4.0,4.0,1.0,2.0,23.0,18.0,-1.3333334,-9.333333,21.333334,0.6666667,1
14.666667,-2.6666667,6.0,0.0,-22.666666,-6.0,10.666667,-4.0,22.666666,4.0,-8.666667,-2.6666667,2.0,1.0,24.0,28.0,0.0,-3.3333333,2.0,-2.6666667,1
-5.3333335,4.0,4.6666665,0.33333334,1.7142857,-2.0,19.428572,-5.428571,-1.0,0.5,-7.3333335,8.666667,-3.6666667,-0.5714286,7.6666665,2.6666667,3.2,0.8,3.0,-3.5,1
-4.4,-11.6,0.0,-0.8,-1.0,-2.5,1.0,6.5,7.0,-1.5,-0.6666667,2.0,11.0,-0.5,1.5,3.5,-3.5,1.5,0.5,-3.5,1
0.0,0.0,4.0,3.6,-7.5,-8.5,-1.0,-4.0,0.0,-2.0,2.6666667,-7.3333335,4.5,3.5,5.0,14.0,-10.0,-4.0,0.0,-3.5,1
-8.666667,1.6666666,3.0,0.33333334,4.285714,-0.85714287,19.428572,0.0,6.0,-3.5,4.6666665,3.6666667,-5.3333335,1.1428572,2.3333333,4.6666665,5.6,1.6,11.0,4.5,1
-13.333333,6.0,7.3333335,-1.3333334,-2.6666667,1.3333334,20.0,0.6666667,9.333333,-5.3333335,10.666667,3.3333333,-6.0,3.0,-7.0,-9.0,4.0,-1.3333334,-1.3333334,-4.6666665,1
-4.8,-12.0,3.2,2.4,0.0,-5.5,7.0,2.5,15.5,0.5,7.3333335,9.333333,10.0,2.5,5.0,8.0,-3.0,8.5,8.5,-6.0,1
12.0,-2.6666667,12.0,16.0,2.6666667,-12.0,5.3333335,2.0,28.666666,1.3333334,4.6666665,4.6666665,0.0,1.0,23.0,15.0,-4.6666665,-5.3333335,2.0,-4.0,1
-6.857143,-7.428571,2.857143,-0.2857143,-1.0,-0.25,14.0,-9.714286,13.714286,-0.85714287,-3.142857,-10.0,-2.0,-0.2857143,-4.6666665,1.6666666,-2.0,-0.33333334,1.0,-5.6666665,1
-12.666667,4.6666665,5.3333335,-5.3333335,8.666667,3.3333333,11.333333,4.0,10.666667,-6.6666665,0.6666667,4.6666665,-10.0,-1.0,-5.0,5.0,-1.3333334,-1.3333334,6.0,-5.3333335,1
3.6,-4.8,0.8,0.8,52.0,4.5,-5.5,2.0,8.0,13.0,7.3333335,8.0,96.0,3.0,22.0,14.0,51.0,5.5,30.5,34.0,1
24.0,-2.6666667,18.666666,0.0,4.6666665,2.0,1.3333334,6.6666665,52.666668,0.6666667,12.666667,4.6666665,2.0,4.0,22.0,8.0,-8.0,0.0,0.0,-5.3333335,1
-1.6,-2.4,-0.4,0.0,-2.5,-7.0,-3.5,8.0,3.0,5.0,2.0,0.0,-1.5,2.5,6.5,5.0,-12.5,-2.5,-1.0,-2.5,1
14.666667,1.3333334,12.666667,-4.6666665,-24.0,-6.6666665,-3.3333333,7.3333335,22.666666,-0.6666667,7.3333335,4.0,1.0,3.0,17.0,6.0,-4.6666665,-4.6666665,-6.0,-4.0,1
